keyword,title,url,abstract,authors,citations_list
machine learning,Semi-Supervised Machine Learning for Analyzing COVID-19 Related Twitter Data for Asian Hate Speech,https://ieeexplore.ieee.org/document/10069452/,"The COVID-19 pandemic left a lot of people sick, tired, and frustrated. Many people expressed their feelings on social media through comments and posts. Detecting hate speech on social media is important to help reduce the spread of racist comments. [::Machine::] [::learning::] algorithms can be used to classify hate speech. In our experiments, we implement semi-supervised [::machine::] [::learnin...","Caitlin Richardson, Sandeep Shah, Xiaohong Yuan",[]
machine learning,Machine Learning Models for Cardiovascular Disease Events Prediction,https://ieeexplore.ieee.org/document/9871121/,"Cardiovascular diseases (CVDs) are among the most serious disorders leading to high mortality rates worldwide. CVDs can be diagnosed and prevented early by identifying risk biomarkers using statistical and [::machine::] [::learning::] (ML) models, In this work, we utilize clinical CVD risk factors and biochemical data using [::machine::] [::learning::] models such as Logistic Regression (LR), Supp...","Konstantina Tsarapatsani, Antonis I. Sakellarios, Vasileios C. Pezoulas, Vassilis D. Tsakanikas, Marcus E. Kleber, Winfried März, Lampros K. Michalis, Dimitrios I. Fotiadis",[]
machine learning,Sentiment Analysis: A Machine Learning Perspective,https://ieeexplore.ieee.org/document/10698402/,"An essential part of natural language processing, sentiment analysis makes it possible to automatically extract sentiment from textual input. In this work, we examine how well different [::machine::] [::learning::] algorithms perform when used to analyze the sentiment of real-time Amazon reviews in the automobile niche. Leveraging a dataset comprising reviews from Amazon users, we employ SVM, KNN,...","Nadimpalli Madana Kailash Varma, Sri Harsh Mattaparty, Shifa Ismail, Joel Thaduri, Gagan Deep Arora, AnandKumar B",[]
machine learning,A Class-Incremental Learning Method for Multi-Class Support Vector Machines in Text Classification,https://ieeexplore.ieee.org/document/4028499/,"To solve multi-class problems of support vector [::machines::] (SVM) more efficiently, a novel framework, which we call class-incremental [::learning::] (CIL), is proposed in this paper. CIL consists of two phases: incremental feature selection and incremental training, for updating the knowledge of old SVM classifiers in text classification when new classes are added to the system. CIL reuses the...","Bo-feng Zhang, Jin-shu Su, Xin Xu",[]
machine learning,A Survey of Optimized Compiler Using Advanced Machine learning and Deep Learning Techniques,https://ieeexplore.ieee.org/document/10871813/,"Optimizing compilers is a difficult and time-consuming task, especially when done by hand. As far as we know, the compiler handles both translation and optimization. An efficient compiler system can become more automated and simple, as evidenced by recent studies using deep [::learning::] and [::machine::] [::learning::] approaches. Model training, prediction, optimization, and feature selection a...","Lal Bahadur Pandey, Manisha Sharma, Rajesh Tiwari, Radhe Shyam Panda, Partha Roy",[]
machine learning,Survey on Automated Machine Learning (AutoML) and Meta learning,https://ieeexplore.ieee.org/document/9579526/,"Automated [::Machine::] [::Learning::] is an area of research that has gained lots of research in the past few years. To build a high qualitymodel for [::Machine::] [::learning::] we need technical experts who have good knowledge in exploring various [::machines::] [::learning::] algorithm as well as to tune the hyperparameters efficiently. The size of data is increasing, it is observed that data ...","Ashwini Doke, Madhava Gaikwad",[]
machine learning,Alignment-Free Sequence Comparison: A Systematic Survey From a Machine Learning Perspective,https://ieeexplore.ieee.org/document/9672674/,The encounter of large amounts of biological sequence data generated during the last decades and the algorithmic and hardware improvements have offered the possibility to apply [::machine::] [::learning::] techniques in bioinformatics. While the [::machine::] [::learning::] community is aware of the necessity to rigorously distinguish data transformation from data comparison and adopt reasonable c...,"Katrin Sophie Bohnsack, Marika Kaden, Julia Abel, Thomas Villmann",[]
machine learning,Machine learning-based distinction of left and right foot contacts in lower back inertial sensor gait data,https://ieeexplore.ieee.org/document/9630653/,"Digital gait measures derived from wearable inertial sensors have been shown to support the treatment of patients with motor impairments. From a technical perspective, the detection of left and right initial foot contacts (ICs) is essential for the computation of stride-by-stride outcome measures including gait asymmetry. However, in a majority of studies only one sensor close to the center of mas...","Martin Ullrich, Arne Küderle, Luca Reggi, Andrea Cereatti, Bjoern M. Eskofier, Felix Kluge",[]
machine learning,Denial-of Service (DoS) Attack Detection Using Edge Machine Learning,https://ieeexplore.ieee.org/document/10459903/,Developing lightweight algorithms to implement DoS attack mitigation on edge devices is a growing interest in edge cybersecurity. Various types of micro-controller boards can be programmed to capture network traffic and implement lightweight [::machine::] [::learning::] models to analyze the supplied traffic data for signs of intrusion and attacks. This study experimented with building Support Vec...,"Ngoc Suong Huynh, Sebastian De La Cruz, Alexander Perez-Pons",[]
machine learning,Game Machine and Algorithm towards Trends in Game States using Machine Learning and Deep Learning,https://ieeexplore.ieee.org/document/10112350/,"Games are played worldwide by individuals with drastic and emerging needs for game [::machines::] and game-state [::learning::] algorithms. There are numerous sub-genres in the ever- expanding world of video games. Although there are many different types currently in use, many of them adhere to the same fundamental ideas. A hybrid approach of applying concepts from [::machine::] [::learning::] and...","Mihir Rajesh Panchal, Chintan Jagdish Dodia, Pankaj Dulabhai Rathod",[]
machine learning,Machine-Learning Prediction of Informatics Students Interest to the MBKM Program: A Study Case in Universitas Pembangunan Jaya,https://ieeexplore.ieee.org/document/9743125/,"This paper presents a prediction model of student interest to join in the MBKM (Merdeka Belajar Kampus Merdeka) program. The MBKM is a new [::learning::] program launched by the Indonesian ministry of Education and Culture to improve the quality and competency of the students. This program offers a freedom to the students in accomplishing their study. Since this is a new program, knowing the stude...","Nur Uddin, Safitri Jaya, Edi Purwanto, Ananda Arta Dwi Putra, Muhammad Wildan Fadhilah, Abimanyu Luthfi Rizq Ramadhan",[]
machine learning,A Comparison of Supervised Machine Learning Techniques for Predicting Short-Term In-Hospital Length of Stay among Diabetic Patients,https://ieeexplore.ieee.org/document/7033154/,"Diabetes is a life-altering medical condition that affects millions of people and results in many hospitalizations per year. Consequently, predicting the length of stay of in-hospital diabetic patients has become increasingly important for staffing and resource planning. Although statistical methods have been used to predict length of stay in hospitalized patients, many powerful [::machine::] [::l...","April Morton, Eman Marzban, Georgios Giannoulis, Ayush Patel, Rajender Aparasu, Ioannis A. Kakadiaris",[]
machine learning,Autonomous Machine Learning Modeling using a Task Ontology,https://ieeexplore.ieee.org/document/8716066/,"Recently, many researchers are intensely engaged in investigation on the artificial intelligence technology that recognizes, [::learns::], inferences, and acts on external information in a wide range of fields by combining technologies of computing, big data and [::machine::] [::learning::] algorithms. The artificial intelligence technology is currently used in almost all industries, and many [::m...","Kyoung Soon Hwang, Ki Sun Park, Sang Hyun Lee, Kwang Il Kim, Keon Myung Lee",[]
machine learning,"Fashion Images Classification using Machine Learning, Deep Learning and Transfer Learning Models",https://ieeexplore.ieee.org/document/9786364/,"Fashion is the way we present ourselves which mainly focuses on vision, has attracted great interest from computer vision researchers. It is generally used to search fashion products in online shopping malls to know the descriptive information of the product. The main objectives of our paper is to use deep [::learning::] (DL) and [::machine::] [::learning::] (ML) methods to correctly identify and ...","Bougareche Samia, Zehani Soraya, Mimi Malika",[]
machine learning,Detection of DDoS Attack on SDN Control plane using Hybrid Machine Learning Techniques,https://ieeexplore.ieee.org/document/8748836/,"Software Defined Network (SDN) provides a promising solution over traditional networks by decoupling the control plane and network plane. With the help of this feature, controller can get global view of the entire network. Since the controller acts as a core part of the SDN environment, there is a serious threat towards the controller in terms of security. A Distributed Denial of Service (DDoS) at...","V. Deepa, K. Muthamil Sudar, P. Deepalakshmi",[]
artificial intelligence,How do we move towards true artificial intelligence,https://ieeexplore.ieee.org/document/9781007/,"At present, the development of [::artificial::] [::intelligence::] technology has entered a new bottleneck period, and the algorithm dividend based on statistics has been exhausted. In the future, we should pay more attention to improving the efficient, intelligent collaboration among humans, machines, and the environment. This review first discusses the bottleneck problems encountered in the curr...","Wei Liu, Guangda Zhuang, Xin Liu, Shaobo Hu, Ruilin He, Yuhu Wang",[]
artificial intelligence,Patient Attitude on the Application of Artificial Intelligence in Diabetes Care,https://ieeexplore.ieee.org/document/10730338/,"The integration of [::artificial::] [::intelligence::] (AI) into diabetes care holds the potential to transform patient management and improve outcomes, especially in Malaysia, where diabetes represents a major public health challenge. However, the adoption and effectiveness of AI in healthcare are significantly impacted by patient attitudes. This paper addresses the gap in understanding these att...","Maslin Masrom, Logeswary Krisnan, Yazriwati Yahya, Manimaran Krishnan Kaundan",[]
artificial intelligence,Construction of Enterprise Business Management Analysis Framework in the Development of Artificial Intelligence,https://ieeexplore.ieee.org/document/9718926/,"In this era of rapid development, [::artificial::] [::intelligence::] has gradually entered our life, as a will be applied to the global technology, [::artificial::] [::intelligence::] in many fields have broad application prospects, [::artificial::] [::intelligence::] as the product of social development and technological innovation, has become a new round of scientific and technological innovati...","Meijing Song, Xinjian Chen",[]
artificial intelligence,Application and existing problems of computer network technology in the field of artificial intelligence,https://ieeexplore.ieee.org/document/9797546/,"With the development of science and technology, computer technology is more and more widely used in people&#39;s life. As a branch of computer technology, [::artificial::] [::intelligence::] technology is also gradually developing and expanding, affecting people&#39;s life. Nowadays, the processing ability shown by simple computer technology has gradually lagged behind the times. If you want more convenie...","Genjin Chen, Qi Yuan",[]
artificial intelligence,A Review on Artificial Intelligence with Deep Human Reasoning,https://ieeexplore.ieee.org/document/9793310/,[::Artificial::] [::Intelligence::] (AI) is a broad term that can be construed to mean a focusing computer programming and development that is designed to train machines and to perform task. [::Artificial::] [::intelligence::] can be used to test theories of reasoning like cognitive reasoning and consciousness. Research has been conducted on the development of machines with human behavior and cogn...,"Janmanchi Harika, Palavadi Baleeshwar, Kummari Navya, Hariharan Shanmugasundaram",[]
artificial intelligence,The Risks and Countermeasures of Accounting Artificial Intelligence,https://ieeexplore.ieee.org/document/9750746/,"Under the background of the information age, the development of science and technology has had an unprecedented situation, which makes people&#39;s lives have undergone tremendous changes, especially the development of [::artificial::] [::intelligence::], which has increasingly penetrated into the field of accounting, which has attracted the attention of staff in various industries. The development of...","Chunling Zhu, Yutong Guan",[]
artificial intelligence,Analysis on the application of artificial intelligence in marketing,https://ieeexplore.ieee.org/document/9719110/,"With the continuous development of modern information technology, various new development technologies are gradually emerging. As an important development content of the discipline of computer science, [::artificial::] [::intelligence::] can simulate human activities through intelligent systems or intelligent machines, so as to extend people’s [::intelligence::]. [::Artificial::] [::intelligence::...",Rui Sun,[]
artificial intelligence,Research on the Application of Artificial Intelligence in Hotels,https://ieeexplore.ieee.org/document/10729894/,"At present, driven by new theories and technologies such as the Internet and big data, [::artificial::] [::intelligence::] is developing rapidly, and all walks of life are actively integrating with [::artificial::] [::intelligence::] technology to advance the development of the industry. This article takes the application of [::artificial::] [::intelligence::] in hotels as the research object, pre...","Xiao Niu, Lixia Zhang",[]
artificial intelligence,Application of artificial intelligence in computer network technology,https://ieeexplore.ieee.org/document/10285175/,"With the development of science and technology, [::artificial::] [::intelligence::] has been widely used in many fields, smart TVs, intelligent sweeping robots, intelligent voice, etc. are quiet trigger great changes in human society. At the same time, people are also exploring the integration and development of computer network technology and [::artificial::] [::intelligence::], in order to use [...",Xiaohua Ma,[]
artificial intelligence,"Applications, Risks and Countermeasures of Artificial Intelligence in Education",https://ieeexplore.ieee.org/document/9534539/,"The application of [::artificial::] [::intelligence::] in education has greatly affected school management, teachers&#39; teaching and students&#39; learning, and has an important influence on the mechanism and mechanism of learning process. The concept of [::artificial::] [::intelligence::] is to simulate human [::intelligence::] by machine, thus completing specific roles and tasks, and has the character...",Zhang Qian,[]
artificial intelligence,The Role of Artificial Intelligence (AI) in Transforming Biomedical Imaging: A Comprehensive Overview,https://ieeexplore.ieee.org/document/10842748/,"The integration of [::Artificial::] [::Intelligence::] (AI) in biomedical imaging heralds a transformative era in medical diagnostics and research. This comprehensive overview explores the multifaceted impact of AI on various imaging modalities, emphasizing its potential to revolutionize disease detection, characterization, and treatment planning. AI applications, particularly machine learning and...","Gunjan R. Chaudhari, Umesh B. Telrandhe",[]
artificial intelligence,Analysis of the Impact of Artificial Intelligence on Electricity Consumption,https://ieeexplore.ieee.org/document/10748289/,"The in-depth development and widespread application of [::artificial::] [::intelligence::] technology will have significant impact on electricity demand. However, there are few comprehensive analyses. This article will analyze the direct and indirect impact respectively. For direct impact, [::artificial::] [::intelligence::] requires various data centers to provide huge computing and storage capab...",Yuelong Jia,[]
artificial intelligence,Artificial Intelligence Surpassing Human Intelligence: Factual or Hoax,https://ieeexplore.ieee.org/document/9684789/,"[::Artificial::] [::intelligence::] is one of the most trending topics in the field of Computer Science which aims to make machines and computers ‘smart’. There are multiple diverse technical and specialized research associated with it. Due to the accelerating rate of technological changes, [::artificial::] [::intelligence::] has taken over a lot of human jobs and is giving excellent results that ...","Sana Khanam, Safdar Tanweer, Syed Khalid, Domenico Rosaci",[]
artificial intelligence,Research on Artificial Intelligence Algorithm and Its Application in Games,https://ieeexplore.ieee.org/document/9425971/,"With the in-depth development of intelligent technology, game [::artificial::] [::intelligence::] (AI) has become the technical core of improving the playability of a game and the main selling point of game promotion, deepening the game experience realm. Modern computer games achieve the realism of games by integrating graphics, physics and [::artificial::] [::intelligence::]. It is difficult to d...","Cundong Tang, Zhiping Wang, Xiuxiu Sima, Lingxiao Zhang",[]
artificial intelligence,Decoding Justice: The Synergy of Artificial Intelligence and Machine Learning in the Legal Landscape,https://ieeexplore.ieee.org/document/10833589/,"The rapid integration of [::Artificial::] [::Intelligence::] (AI), Machine Learning (ML), and Internet of Things (IoT) technologies holds significant promise for enhancing human-centric applications, particularly in the domain of law enforcement. This paper explores the application of AI and ML in crime prevention and resource allocation, pivotal areas of concern for law enforcement agencies (LEAs...","Nadine Y. Fares, Manar Jammal",[]
artificial intelligence,Application of artificial intelligence in computer network technology in the era of big data,https://ieeexplore.ieee.org/document/9725020/,"Today, with the progress of computer network technology, the advantages of [::artificial::] [::intelligence::] gradually began to show and become a new product under the development of the current era. At present, the strength of [::artificial::] [::intelligence::] technology lies in its data analysis and processing ability, because with the continuous development and progress of the society, the ...","Guolan Liu, Huan Wan, Li Zhang",[]
artificial intelligence,Study on the Application Fields and Development Prospects of Artificial Intelligence,https://ieeexplore.ieee.org/document/9534575/,"Since the world entered the Internet age, various industries have developed rapidly, as has the industry of [::artificial::] [::intelligence::]. Moreover, there is a wide range of application areas in [::artificial::] [::intelligence::], including industry, computer, education, and intelligent robots. With the rapid development of science and technology, it is believed that the [::artificial::] [:...","Li Xiaojun, Zhuo Xiande, Zhu Kexi, Deng Zhenli, Zhang Kai, Wang Xi",[]
artificial intelligence,Artificial intelligence and modern sports education technology,https://ieeexplore.ieee.org/document/5641441/,"[::Artificial::] [::intelligence::] is a comprehensive cutting-edge discipline which is developing, and an important research direction in the fields of science computer and technology. This paper uses the principles and methods of [::artificial::] [::intelligence::] on the basis of describing the concept and research areas of [::artificial::] [::intelligence::], focuses on in-depth analysis and d...",Liu Xian,[]
artificial intelligence,The Influence and Application of Artificial Intelligence on the Political Development of New Media in China,https://ieeexplore.ieee.org/document/9516500/,"At present, in the field of [::artificial::] [::intelligence::], China and the United States are not only engaged in technological competition, but also in a political war. China’s ideology makes Chinese people accustomed to giving up part of the right of privacy in order to get better public services, and [::artificial::] [::intelligence::] just needs a huge database. Therefore, the government ca...",Yuyu Zheng,[]
artificial intelligence,Research and Application of Artificial Intelligence and Big Data in Infectious Disease Prevention and Control,https://ieeexplore.ieee.org/document/10604633/,"With the continuous spread and globalization of infectious diseases, infectious disease prevention and control has become an important task for both countries and the world. Traditional infectious disease monitoring methods often rely on manual collection and analysis of data, which is inefficient and easily limited by human errors. However, the development of [::artificial::] [::intelligence::] a...","Xiaoqing Tang, Xiupeng Yan, Junbiao Chang, Minghui Zhao",[]
artificial intelligence,Application of Artificial Intelligence and Virtual Reality Technology in the Construction of University Physical Education,https://ieeexplore.ieee.org/document/9750820/,"The progress of [::artificial::] [::intelligence::] and virtual reality technology has provided convenience to all sectors of the society. With the support of the core algorithm of [::artificial::] [::intelligence::], technicians can develop, design and optimize [::artificial::] [::intelligence::] systems so that they can have [::intelligence::] similar to the human brain and simulate human intell...",Nan Wang,[]
artificial intelligence,Risks and Countermeasures of Artificial Intelligence for College Students' Growth,https://ieeexplore.ieee.org/document/10277729/,"With the development of the times, [::artificial::] [::intelligence::] is also rapidly updating, bringing great convenience to people&#39;s lives, but also bringing many risks and challenges to college students. Currently, under the impact of [::artificial::] [::intelligence::], college students are facing risks such as weakening their dominant position, obliterating value consensus, and reducing inno...","Yuanpeng Duan, Chengping Dong",[]
artificial intelligence,Analysis of Systematic Reform of Future Teaching in the Age of Artificial Intelligence,https://ieeexplore.ieee.org/document/9534529/,"[::Artificial::] [::intelligence::] has developed rapidly in recent years, which not only brings convenience to people’s lives, but also plays an important role in education. In the past, teachers mainly relied on relevant teaching materials to prepare lessons, but now teachers can use [::artificial::] [::intelligence::] technology to prepare lessons, which reduces the burden of preparing lessons ...","Wang Caijun, Jin Xi, Zheng Zhenzhou",[]
artificial intelligence,Artificial Intelligence Techniques to Revolutionize the Marketing Strategies for Enormous Business Expansion,https://ieeexplore.ieee.org/document/10370805/,"[::Artificial::] [::intelligence::] (AI) is a rapidly growing field. It&#39;s the most recent technological disruptor with enormous marketing transformation potential. Experts from all over the world are working hard to find the best AI solutions for their marketing departments. The world is fast transitioning to a digital era, as is well acknowledged. The smart-marketing firms, which incorporate AI t...","K. Vijay Chandra, K. Sudha Rani, Palak Singh, C. V. Rambabu, K. Vidya Sagar, Poornaiah Billa",[]
artificial intelligence,Empowering Education Through Transformative Role of Artificial Intelligence (AI) in Teaching and Learning: Educators' Perspective and Research Trends,https://ieeexplore.ieee.org/document/10809596/,"This research study explores the transformative role of [::Artificial::] [::Intelligence::] (AI) in education. Utilizing a mixed-methods approach, the study combines qualitative data collection techniques and document analysis to determine AI integration in educational settings as perceived by the Open University Systems graduate students who are teachers by profession. Through semi-structured int...",Caren Casama Orlanda-Ventayen,[]
deep learning,An Application of a Deep Learning Algorithm for Automatic Detection of Unexpected Accidents Under Bad CCTV Monitoring Conditions in Tunnels,https://ieeexplore.ieee.org/document/8876906/,"In this paper, Object Detection and Tracking System (ODTS) in combination with a well-known [::deep::] [::learning::] network, Faster Regional Convolution Neural Network (Faster R-CNN), for Object Detection and Conventional Object Tracking algorithm will be introduced and applied for automatic detection and monitoring of unexpected events on CCTVs in tunnels, which are likely to (1) Wrong-Way Driv...","Kyu Beom Lee, Hyu Soung Shin",[]
deep learning,Evaluation of Deep Learning Techniques in Sentiment Analysis from Twitter Data,https://ieeexplore.ieee.org/document/8876896/,"This study presents a comparison of different [::deep::] [::learning::] methods used for sentiment analysis in Twitter data. In this domain, [::deep::] [::learning::] (DL) techniques, which contribute at the same time to the solution of a wide range of problems, gained popularity among researchers. Particularly, two categories of neural networks are utilized, convolutional neural networks(CNN), wh...","Dionysis Goularas, Sani Kamis",[]
deep learning,A Visual Similarity Recommendation System using Generative Adversarial Networks,https://ieeexplore.ieee.org/document/8876932/,"The goal of content-based recommendation system is to retrieve and rank the list of items that are closest to the query item. Today, almost every e-commerce platform has a recommendation system strategy for products that customers can decide to buy. In this paper we describe our work on creating a Generative Adversarial Network based image retrieval system for e-commerce platforms to retrieve best...","Betül Ay, Galip Aydın, Zeynep Koyun, Mehmet Demir",[]
deep learning,Research on dynamic adaptation of English translation based on deep reinforcement learning,https://ieeexplore.ieee.org/document/10873253/,"This research is dedicated to exploring the application of [::deep::] reinforcement [::learning::] (DRL) in dynamic adaptability of English translation. This study compared traditional sequence-to-sequence models, models using attention mechanisms, and advanced models integrating [::deep::] reinforcement [::learning::] to assess their impact on improving machine translation quality. The research f...",Luo Yun,[]
deep learning,JAVA Mobile Application Development Course Under the Framework of Industry-Education Integration: Practice of Deep Learning and Neural Network Integration,https://ieeexplore.ieee.org/document/10873245/,"The popularization of AI technology, yes the emerging technology represented by [::deep::] [::learning::] and neural network has gradually become an important tool for solving complex problems. Specifically, in the application field of mobile application development, the cutting-edge [::deep::] [::learning::] technology is integrated into the JAVA mobile application development course by utilizing...",Haiyan Guo,[]
deep learning,Solving the VRP Using Transformer-Based Deep Reinforcement Learning,https://ieeexplore.ieee.org/document/10327956/,"The Vehicle Routing Problem (VRP) is a well-known NP-hard problem, and finding fast and efficient algorithms for VRP has been a major research focus in the academic community. In recent years, the advancements in [::deep::] reinforcement [::learning::] have provided new possibilities for solving VRP. This paper proposes a novel approach for solving VRP using a Transformer-based [::deep::] reinforc...","Xue-Lian Ren, Ai-Xiang Chen",[]
deep learning,Cryptosentiment: A Dataset and Baseline for Sentiment-Aware Deep Reinforcement Learning for Financial Trading,https://ieeexplore.ieee.org/document/10193330/,[::Deep::] [::Learning::] (DL) models have been applied in several studies to solve financial trading problems. Most approaches handle these problems as classification or reinforcement [::learning::] problems with the objective of developing profitable strategies. Recent works have demonstrated that supplying financial trading agents with sentiment information can lead to improved performance. How...,"Loukia Avramelou, Paraskevi Nousi, Nikolaos Passalis, Stavros Doropoulos, Anastasios Tefas",[]
deep learning,Using Double Deep Q-Learning to learn Attitude Control of Fixed-Wing Aircraft,https://ieeexplore.ieee.org/document/10090202/,"These last few years have been big for the field of Reinforcement [::Learning::]. While is was long thought to be impossible for Reinforcement [::Learning::] to master complex environments, recent research has seen Reinforcement [::Learning::] agent master highly complex tasks like Atari Games, Go, Dota 2, Autonomous transportation among many others. This has sparked a new wave of interest into Re...","David J. Richter, Ricardo A. Calix",[]
deep learning,Energy Efficient Smart Buildings: LSTM Neural Networks for Time Series Prediction,https://ieeexplore.ieee.org/document/8876919/,"Considering the human resources, time and energy expenditures in the modern technology of today, efficient use of resources provides significant advantages in many ways. As a result of this, the role of intelligent building systems, which are part of the campuses and cities, is becoming much more important day by day. The purpose of these building systems is to ensure that the resources and system...","Idil Sülo, Seref Recep Keskin, Gülüstan Dogan, Theodore Brown",[]
deep learning,Design of English Assisted Learning System Based on Deep Learning and Data Analysis Techniques,https://ieeexplore.ieee.org/document/10549077/,"Traditional English [::learning::] methods are too cumbersome and monotonous, making it difficult to achieve significant improvement. Developing an effective English assisted [::learning::] system has become an urgent issue in the field of educational technology. This paper presents an analysis of the design of an English-assisted study program based on [::deep::] [::learning::] and data parsing s...",Yanhui Jing,[]
deep learning,Burnt Forest Estimation from Sentinel-2 Imagery of Australia using Unsupervised Deep Learning,https://ieeexplore.ieee.org/document/9647174/,"Massive wildfires not only in Australia, but also worldwide are burning millions of hectares of forests and green land affecting the social, ecological, and economical situation. Widely used indices-based threshold methods like Normalized Burned Ratio (NBR) require a huge amount of data preprocessing and are specific to the data capturing source. State-of-the-art [::deep::] [::learning::] models, ...","Nosheen Abid, Muhammad Imran Malik, Muhammad Shahzad, Faisal Shafait, Haider Ali, Muhammad Mohsin Ghaffar, Christian Weis, Norbert Wehn, Marcus Liwicki",[]
deep learning,Experiments Focused on Exploration in Deep Reinforcement Learning,https://ieeexplore.ieee.org/document/9604690/,"Automation with [::deep::] neural networks is popular topic. Personal artificial assistance, self driving cars and recommendations algorithms, they all use reinforcement [::learning::]. However, there are many question about this technology still unanswered. Can the [::learning::] process be accelerated, why sometimes the automatons are [::learning::] wrong behavior, is it possible for machines te...","Martin Kaloev, Georgi Krastev",[]
deep learning,Design of Deep Learning Mixed Language Short Text Sentiment Classification System Based on CNN Algorithm,https://ieeexplore.ieee.org/document/10031786/,"[::Deep::] [::learning::] began to emerge in the 1990s, and with the development and updating of networks, higher requirements were placed on data set analysis techniques. Firstly, it elaborates on the classification algorithm based on [::deep::] [::learning::], which includes a multi-layer perceptron model, a recurrent neural network model and an attention mechanism model. Secondly, this paper st...","Wang Wang, Guangze Wen, Zikun Zheng",[]
